trade_date,ts_code,name,close,pre_close,amount,vol,turnover_rate,etf_share,etf_aum,unit_nav,aum_source,turnover_rate_source,pct_1d,pct_3d,pct_5d,turnover_ma10,turnover_change_degree,aum_ma10,aum_change_rate,share_ma10,share_change_rate,highest_price_date
20260212,159100.SZ,巴西ETF,1.294,1.218,3079959.046,24017138.08,73212.50564343788,32804.6935,39296.74234365,1.1979,proxy_unit_nav_share,proxy_vol_share,0.062397372742200474,0.06765676567656764,0.10882604970008569,43007.02738796794,1.7023382012196573,37436.371944850005,1.0496941958355535,31904.6935,1.0282090157048522,20260130
20260213,159100.SZ,巴西ETF,1.3,1.294,2120069.673,16084342.44,48733.50040351079,33004.6935,38902.632228450006,1.1787,proxy_unit_nav_share,proxy_vol_share,0.004636785162287493,0.06382978723404253,0.08968985750209546,40212.59182353631,1.2118965277683797,37759.855227455,1.0302643374586906,32104.6935,1.0280332842922173,20260130
20260224,159100.SZ,巴西ETF,1.317,1.3,937173.732,7150086.96,21631.07928984427,33054.6935,40250.70027495,1.2177,proxy_unit_nav_share,proxy_vol_share,0.013076923076922986,0.08128078817733986,0.08663366336633671,35922.91964750224,0.60215259511481,38177.03859248,1.0543169863070119,32289.6935,1.0236917702548027,20260130
20260225,159100.SZ,巴西ETF,1.344,1.317,1089175.369,8090425.78,24328.673424700184,33254.6935,40524.1694991,1.2186,proxy_unit_nav_share,proxy_vol_share,0.0205011389521641,0.03863987635239563,0.09983633387888724,31581.362479190146,0.7703490766343927,38518.991005365,1.05205688003239,32474.6935,1.0240187024397935,20260130
20260226,159100.SZ,巴西ETF,1.321,1.344,730771.187,5537095.9,16551.02863220074,33454.6935,40630.725255749996,1.2145,proxy_unit_nav_share,proxy_vol_share,-0.017113095238095344,0.016153846153846185,0.08456486042692934,30037.867827139264,0.5510054417792883,38929.509103145,1.0436999127858912,32659.693500000005,1.0243419308267543,20260130
20260227,159100.SZ,巴西ETF,1.303,1.321,378264.857,2899122.48,8614.31847537105,33654.6935,40284.668119500006,1.197,proxy_unit_nav_share,proxy_vol_share,-0.013626040878122692,-0.010630220197418438,0.006955177743431129,29584.860360868806,0.29117320042399136,39291.84889535,1.0252678164062548,32844.69350000001,1.024661518001378,20260130
20260302,159100.SZ,巴西ETF,1.258,1.303,196341.287,1546209.42,4567.193674342378,33854.6935,40483.4424873,1.1958,proxy_unit_nav_share,proxy_vol_share,-0.03453568687643893,-0.06398809523809534,-0.03230769230769237,24894.23547706064,0.18346390587294484,39625.72841647,1.0216453830656524,33029.6935,1.024977525147183,20260130
20260303,159100.SZ,巴西ETF,1.308,1.258,2189045.52,16570777.22,48659.305126325686,34054.6935,39081.1662606,1.1476,proxy_unit_nav_share,proxy_vol_share,0.03974562798092207,-0.009841029523088518,-0.006833712984054552,27640.84971674064,1.760412781263206,39718.232956650005,0.9839603464548556,33214.6935,1.0252900120845614,20260130
20260304,159100.SZ,巴西ETF,1.206,1.308,695342.466,5663928.3,16534.75106995192,34254.6935,40211.58469965,1.1739,proxy_unit_nav_share,proxy_vol_share,-0.07798165137614688,-0.07444359171143511,-0.10267857142857151,27601.54737469129,0.5990515982851433,39911.424983460005,1.0075206464393187,33399.6935,1.025599037308531,20260130
20260305,159100.SZ,巴西ETF,1.245,1.206,883454.371,7029587.46,20402.40891999228,34454.6935,39047.50414355,1.1333,proxy_unit_nav_share,proxy_vol_share,0.03233830845771157,-0.010333863275039712,-0.05753217259651766,28323.476465967717,0.7203356178577494,39871.33353125,0.9793378020061881,33584.6935,1.02590465802524,20260130
20260306,159100.SZ,巴西ETF,1.223,1.245,399760.615,3289920.55,9493.434273195924,34654.6935,,,missing,proxy_vol_share,-0.01767068273092376,-0.06498470948012225,-0.06139677666922472,21951.569328943526,0.4324717805336435,39935.17699653889,,33769.6935,1.0262069301872698,20260130
20260309,159100.SZ,巴西ETF,1.186,1.223,229251.481,1933806.49,5580.215245591481,34654.6935,,,missing,proxy_vol_share,-0.030253475061324697,-0.016583747927031545,-0.05723370429252783,17636.24081315159,0.3164061607409123,40064.24509255,,33934.6935,1.021217224195645,20260130
20260310,159100.SZ,巴西ETF,,,,,,34654.6935,,,missing,missing,,,,17192.36987129685,,40037.60863792143,,34094.69350000001,1.0164248433557554,20260130
20251205,159101.SZ,港股通科技ETF基金,0.976,0.967,467853.247,4832402.13,1967.3409559804045,245631.1457,240251.82360916998,0.9781,proxy_unit_nav_share,proxy_vol_share,,,,1967.3409559804045,1.0,240251.82360916998,1.0,245631.1457,1.0,20251205
20251208,159101.SZ,港股通科技ETF基金,0.974,0.976,393196.022,4029710.43,1649.9576327377479,244231.1457,238052.09771379,0.9747,proxy_unit_nav_share,proxy_vol_share,-0.002049180327868827,,,1808.649294359076,0.9122595728667435,239151.96066147997,0.9954009871186177,244931.1457,0.9971420539515322,20251205
20251209,159101.SZ,港股通科技ETF基金,0.958,0.974,361608.416,3757608.98,1538.5461871499544,244231.1457,233900.16823689,0.9577,proxy_unit_nav_share,proxy_vol_share,-0.01642710472279263,,,1718.614925289369,0.8952244999797754,237401.36318661665,0.9852520014934605,244697.81236666665,0.9980928858245476,20251205
20251210,159101.SZ,港股通科技ETF基金,0.963,0.958,613804.898,6423820.11,2630.2215024985653,244231.1457,235292.28576738,0.9634,proxy_unit_nav_share,proxy_vol_share,0.005219206680584509,-0.013319672131147597,,1946.516569591668,1.3512453701076492,236874.0938318075,0.9933221567675921,244581.1457,0.9985689820897752,20251205
20251211,159101.SZ,港股通科技ETF基金,0.959,0.963,428859.377,4463616.35,1827.619625337572,244231.1457,233631.51397662,0.9566,proxy_unit_nav_share,proxy_vol_share,-0.004153686396677014,-0.015400410677618104,,1922.737180740849,0.9505301315457855,236225.57786077,0.9890187002286478,244511.1457,0.9988548579280572,20251205
20251212,159101.SZ,港股通科技ETF基金,0.972,0.959,457413.057,4732282.95,1937.624677817658,244231.1457,237392.6736204,0.972,proxy_unit_nav_share,proxy_vol_share,0.01355578727841511,0.014613778705636848,-0.004098360655737654,1925.2184302536505,1.0064440727187371,236420.09382070834,1.0041137780802558,244464.47903333334,0.9990455327732847,20251205
20251215,159101.SZ,港股通科技ETF基金,0.945,0.972,357967.639,3763630.01,1541.0114869718682,244231.1457,230309.97039509998,0.943,proxy_unit_nav_share,proxy_vol_share,-0.02777777777777779,-0.01869158878504673,-0.029774127310061682,1870.3317240705385,0.8239241558807832,235547.2190456214,0.9777656103445354,244431.1457,0.99918177366707,20251205
20251216,159101.SZ,港股通科技ETF基金,0.925,0.945,446156.944,4832971.28,1932.1749262670892,250131.1457,231871.5720639,0.927,proxy_unit_nav_share,proxy_vol_share,-0.021164021164021052,-0.035453597497393075,-0.034446764091857984,1878.0621243451073,1.0288131053922678,235087.76317290624,0.9863191896268938,245143.6457,1.0203452142753215,20251205
20251217,159101.SZ,港股通科技ETF基金,0.936,0.925,624229.484,6717626.03,2583.392851620236,260031.1457,243467.16171891,0.9363,proxy_unit_nav_share,proxy_vol_share,0.011891891891891992,-0.03703703703703698,-0.028037383177569986,1956.432205153455,1.3204612175240718,236018.80745579556,1.0315583081848656,246797.81236666668,1.0536201403344394,20251205
20251218,159101.SZ,港股通科技ETF基金,0.923,0.936,303240.981,3272075.28,1251.1226038650739,261531.1457,242988.58746987,0.9291,proxy_unit_nav_share,proxy_vol_share,-0.01388888888888895,-0.023280423280423235,-0.037539103232533844,1885.9012450246169,0.6634083344320306,236715.785457203,1.0264992974615168,248271.1457,1.0534093479232693,20251205
20251219,159101.SZ,港股通科技ETF基金,0.939,0.923,416465.131,4441769.6,1660.9021317893564,267431.1457,251599.22187456,0.9408,proxy_unit_nav_share,proxy_vol_share,0.01733477789815807,0.01513513513513498,-0.03395061728395066,1855.257362605512,0.8952408249477558,237850.525283742,1.0578039362091658,250451.14570000005,1.0677976535205762,20251205
20251222,159101.SZ,港股通科技ETF基金,0.94,0.939,248741.342,2635252.23,985.3946604095935,267431.1457,252535.23088451,0.9443,proxy_unit_nav_share,proxy_vol_share,0.0010649627263046302,0.004273504273504258,-0.005291005291005346,1788.8010653726967,0.5508687799245505,239298.83860081402,1.0553132324464651,252771.1457,1.0579971260540915,20251205
20251223,159101.SZ,港股通科技ETF基金,0.935,0.94,272017.622,2897356.09,1074.562837493443,269631.1457,252374.7523752,0.936,proxy_unit_nav_share,proxy_vol_share,-0.005319148936170137,0.01300108342361872,0.010810810810810922,1742.4027304070455,0.616713242433001,241146.297014645,1.0465628355050922,255311.14570000005,1.056088424814898,20251205
20251224,159101.SZ,港股通科技ETF基金,0.933,0.935,164024.843,1753616.13,632.3184962055994,277331.1457,259637.41860434,0.9362,proxy_unit_nav_share,proxy_vol_share,-0.002139037433155133,-0.006389776357827337,-0.0032051282051281937,1542.612429777749,0.4099010769002428,243580.810298341,1.0659190200013402,258621.1457,1.0723452057617266,20251205
20251225,159101.SZ,港股通科技ETF基金,0.935,0.933,58691.591,628286.2,226.54729183560283,277331.1457,259360.08745864002,0.9352,proxy_unit_nav_share,proxy_vol_share,0.002143622722400762,-0.005319148936170137,0.01300108342361872,1382.5051964275522,0.16386722626505126,246153.66764654298,1.0536511193936806,261931.14570000005,1.0587940771947684,20251205
20251226,159101.SZ,港股通科技ETF基金,0.937,0.935,100527.454,1072820.06,386.83720766094973,277331.1457,259249.15500035998,0.9348,proxy_unit_nav_share,proxy_vol_share,0.002139037433155133,0.002139037433155133,-0.0021299254526090383,1227.426449411881,0.3151612121820432,248339.315784539,1.0439311801329372,265241.1457,1.0455811633903676,20251205
20251229,159101.SZ,港股通科技ETF基金,0.934,0.937,290371.949,3082902.11,1111.632125637593,277331.1457,257807.03304272,0.9296,proxy_unit_nav_share,proxy_vol_share,-0.0032017075773745907,0.001071811361200492,-0.006382978723404098,1184.4885132784536,0.9384912670539901,251089.022049301,1.026755494679094,268551.14570000005,1.0326939584529202,20251205
20251230,159101.SZ,港股通科技ETF基金,0.938,0.934,258483.139,2771852.7,989.8372886598521,280031.1457,262921.24269772996,0.9389,proxy_unit_nav_share,proxy_vol_share,0.004282655246252487,0.0032085561497325887,0.0032085561497325887,1090.25474951773,0.9078954153583856,254193.98911268398,1.0343330446778471,271541.1457,1.0312659798871873,20251205
20251231,159101.SZ,港股通科技ETF基金,0.926,0.938,109355.92,1176191.54,418.2294735074217,281231.1457,2612648059.16,0.929,api_nav,proxy_vol_share,-0.012793176972281328,-0.011739594450373536,-0.007502679528403,873.7384117064485,0.4786666900572697,261494653.18894076,9.991210249611692,273661.14570000005,1.0276619466042085,20251205
20260105,159101.SZ,港股通科技ETF基金,0.967,0.926,523538.534,5451634.2,1938.4887781296693,281231.1457,2612648059.16,0.9676,api_nav,proxy_vol_share,0.0442764578833692,0.035331905781584405,0.03422459893048124,942.475029132908,2.0568065128612583,522735160.2461937,4.998033914400392,275631.1457,1.0203170073025605,20251205
20260106,159101.SZ,港股通科技ETF基金,0.976,0.967,407795.289,4182899.0,1485.2402029623956,281631.1457,2612648059.16,0.9751,api_nav,proxy_vol_share,0.009307135470527417,0.04051172707889128,0.04162219850586979,924.908836250212,1.6058233468542618,783974806.2400062,3.332566350812252,277051.14570000005,1.0165312436749832,20251205
20260107,159101.SZ,港股通科技ETF基金,0.96,0.976,456995.279,4759639.2,1672.8007713497918,284531.1457,2612648059.16,0.9658,api_nav,proxy_vol_share,-0.016393442622950838,0.036717062634989084,0.027837259100642386,993.6494473442319,1.68349187514848,1045214358.6329178,2.4996289398255094,278761.1457,1.0206987239398477,20251205
20260108,159101.SZ,港股通科技ETF基金,0.95,0.96,285218.835,2987906.89,1020.7000293238698,292731.1457,2612648059.16,0.9567,api_nav,proxy_vol_share,-0.01041666666666663,-0.0175801447776629,0.01279317697228155,988.2631665272745,1.032822090203541,1306453927.0736804,1.9998011449298156,281071.14570000005,1.0414841586494445,20251205
